cliente_id,idade,tempo_cliente_meses,contrato,forma_pagamento,charge_mensal,total_cobrado,num_produtos,tem_internet,tem_fone,chamadas_suporte,churn
CLI-00173,49,35,bienal,boleto,90.61,3374.59,2,1,1,1,0
CLI-00174,21,58,bienal,debito_automatico,73.38,4184.93,3,1,1,1,0
CLI-00175,47,33,mensal,debito_automatico,93.6,3231.15,3,1,1,3,0
CLI-00176,54,14,mensal,cartao_credito,92.32,1237.65,5,0,1,6,0
CLI-00177,40,34,bienal,cartao_credito,97.03,3005.78,5,1,0,2,0
CLI-00178,56,61,mensal,debito_automatico,113.63,7175.38,5,1,1,1,0
CLI-00179,62,4,anual,debito_automatico,89.65,369.27,4,1,1,3,0
CLI-00180,32,59,mensal,boleto,64.02,4005.04,2,0,0,1,0
CLI-00181,60,29,anual,cartao_credito,123.07,3651.91,3,0,1,5,0
CLI-00182,46,6,mensal,debito_automatico,64.31,359.38,2,1,1,1,0
CLI-00183,53,49,bienal,cartao_credito,55.79,2926.8,4,1,1,2,0
CLI-00184,30,40,anual,cartao_credito,97.38,3994.34,2,1,1,3,0
CLI-00185,49,65,mensal,debito_automatico,80.21,5534.4,2,1,1,0,0
CLI-00186,24,69,mensal,debito_automatico,109.41,7963.15,5,1,1,4,0
CLI-00187,68,27,mensal,cartao_credito,89.16,2310.0,2,1,1,2,0
CLI-00188,39,6,bienal,cartao_credito,111.41,611.58,2,1,0,3,0
CLI-00189,45,13,anual,debito_automatico,123.28,1498.95,2,1,1,4,0
CLI-00190,19,64,mensal,boleto,83.07,4883.57,1,1,1,2,0
CLI-00191,59,62,mensal,boleto,70.49,4146.1,3,1,0,1,0
CLI-00192,62,19,mensal,cartao_credito,96.92,1826.58,3,1,1,3,0
CLI-00193,74,43,anual,boleto,97.78,4546.63,2,1,1,0,0
CLI-00194,70,20,anual,debito_automatico,130.07,2794.95,5,0,1,3,0
CLI-00195,23,68,mensal,boleto,112.75,8002.2,5,1,1,0,0
CLI-00196,45,44,anual,cartao_credito,98.79,3933.05,5,1,1,3,0
CLI-00197,45,23,anual,debito_automatico,75.86,1689.43,3,1,1,1,0
CLI-00198,61,2,bienal,boleto,99.67,206.61,4,0,1,2,1
CLI-00199,61,22,bienal,cartao_credito,55.98,1140.19,2,1,1,2,0
CLI-00200,37,57,anual,boleto,101.89,6157.46,3,0,0,2,0
CLI-00201,47,7,anual,boleto,113.55,860.75,5,0,1,5,0
CLI-00202,28,56,mensal,boleto,97.45,5297.96,3,1,1,1,0
CLI-00203,72,67,anual,cartao_credito,108.35,7558.31,3,1,1,2,0
CLI-00204,45,16,mensal,cartao_credito,123.02,1829.83,3,1,0,0,0
CLI-00205,42,51,mensal,cartao_credito,108.59,5749.44,5,1,0,2,0
CLI-00206,56,12,mensal,boleto,103.54,1123.56,4,1,1,1,0
CLI-00207,50,53,anual,cartao_credito,70.61,3480.94,1,1,1,4,0
CLI-00208,18,5,mensal,debito_automatico,97.03,505.51,2,1,1,3,0
CLI-00209,74,27,mensal,debito_automatico,85.85,2416.16,2,0,1,2,0
CLI-00210,44,12,mensal,debito_automatico,117.1,1444.87,3,1,1,1,0
CLI-00211,74,17,mensal,cartao_credito,124.68,2109.96,4,1,1,0,0
CLI-00212,69,6,mensal,debito_automatico,116.32,722.33,5,1,1,3,0
CLI-00213,30,5,anual,boleto,76.41,402.97,1,1,1,2,0
CLI-00214,58,57,anual,cartao_credito,72.54,4520.54,1,1,1,4,0
CLI-00215,20,28,mensal,boleto,103.61,3126.58,3,1,1,2,0
CLI-00216,56,69,bienal,debito_automatico,103.66,7573.87,3,1,1,4,0
CLI-00217,23,59,anual,debito_automatico,104.53,6407.49,5,1,1,4,0
CLI-00218,25,33,mensal,debito_automatico,115.77,3877.07,5,1,1,2,0
CLI-00219,44,62,anual,cartao_credito,94.52,5415.58,5,1,1,1,0
CLI-00220,26,50,bienal,debito_automatico,103.02,4806.46,3,1,1,2,0
CLI-00221,54,19,mensal,boleto,88.2,1783.14,4,1,0,0,0
CLI-00222,50,69,mensal,cartao_credito,109.44,8009.44,3,1,1,1,0
CLI-00223,68,66,bienal,debito_automatico,87.67,5918.68,3,0,1,4,0
CLI-00224,59,47,anual,cartao_credito,111.48,5175.47,1,1,0,0,0
CLI-00225,61,39,mensal,debito_automatico,110.78,3910.87,5,1,1,0,0
CLI-00226,41,68,anual,debito_automatico,90.76,5958.36,2,1,1,2,0
CLI-00227,32,33,mensal,debito_automatico,82.03,2664.02,5,1,1,0,0
CLI-00228,71,13,bienal,cartao_credito,130.13,1686.89,4,0,1,0,0
CLI-00229,49,54,mensal,boleto,101.24,5936.38,4,1,1,3,0
CLI-00230,49,7,mensal,cartao_credito,144.79,934.21,5,0,1,0,0
CLI-00231,41,14,anual,debito_automatico,110.96,1559.3,5,1,1,3,0
CLI-00232,58,19,mensal,debito_automatico,89.72,1659.65,3,1,1,1,0
CLI-00233,69,54,mensal,boleto,75.77,4492.64,2,1,1,1,0
CLI-00234,66,20,anual,cartao_credito,106.84,2291.45,3,1,1,6,0
CLI-00235,66,29,anual,boleto,88.42,2532.79,1,1,0,3,0
CLI-00236,69,24,mensal,debito_automatico,51.32,1354.77,1,1,0,1,0
CLI-00237,29,63,anual,debito_automatico,90.62,5725.12,4,0,1,1,0
CLI-00238,56,57,mensal,debito_automatico,116.45,6195.74,4,0,1,0,0
CLI-00239,19,8,mensal,boleto,73.11,591.42,2,1,1,2,0
CLI-00240,20,62,mensal,debito_automatico,85.66,5020.1,4,1,1,2,0
CLI-00241,66,29,mensal,boleto,81.92,2440.45,1,0,1,2,0
CLI-00242,54,17,anual,cartao_credito,87.74,1622.08,2,1,1,2,0
CLI-00243,66,66,mensal,boleto,68.72,4795.13,1,1,1,2,0
CLI-00244,73,6,anual,cartao_credito,145.35,832.54,5,1,0,0,0
CLI-00245,34,58,mensal,debito_automatico,107.02,5954.97,5,1,1,3,1
CLI-00246,66,69,bienal,debito_automatico,60.7,3827.51,2,1,1,3,0
CLI-00247,19,28,anual,debito_automatico,61.62,1651.47,3,0,0,5,0
CLI-00248,19,62,anual,cartao_credito,122.45,6973.35,4,1,1,3,0
CLI-00249,45,41,mensal,debito_automatico,64.05,2625.76,2,1,1,1,0
CLI-00250,71,69,mensal,cartao_credito,102.61,7375.11,4,1,1,1,1
CLI-00251,40,41,mensal,debito_automatico,60.52,2605.97,1,1,1,0,0
CLI-00252,54,49,bienal,cartao_credito,91.96,4109.08,3,1,1,2,0
CLI-00253,49,49,mensal,debito_automatico,108.96,5168.14,4,1,1,2,0
CLI-00254,50,71,anual,cartao_credito,82.69,5622.26,5,0,0,2,0
CLI-00255,18,3,anual,cartao_credito,100.89,278.72,5,1,0,1,0
CLI-00256,36,10,mensal,cartao_credito,64.53,627.55,1,1,1,3,0
CLI-00257,19,35,anual,debito_automatico,66.69,2240.47,2,1,1,3,0
CLI-00258,70,2,anual,boleto,94.49,194.06,4,1,0,1,0
CLI-00259,61,24,anual,boleto,65.52,1693.03,1,1,1,4,0
CLI-00260,43,38,mensal,cartao_credito,127.46,4799.74,5,1,1,3,0
CLI-00261,49,22,mensal,debito_automatico,95.68,2208.8,5,1,1,4,0
CLI-00262,23,26,mensal,debito_automatico,119.02,2875.43,5,1,1,3,0
CLI-00263,49,43,anual,debito_automatico,102.32,4747.31,3,1,1,2,0
CLI-00264,72,55,anual,debito_automatico,63.98,3274.4,3,1,1,1,0
CLI-00265,21,39,mensal,cartao_credito,99.89,3655.81,5,1,1,4,0
CLI-00266,72,29,bienal,debito_automatico,83.8,2238.93,2,1,1,5,0
CLI-00267,28,20,mensal,debito_automatico,99.31,1910.6,3,1,0,5,0
CLI-00268,73,41,bienal,cartao_credito,97.27,4029.87,4,1,1,2,0
CLI-00269,34,54,bienal,debito_automatico,114.84,6806.61,3,1,1,1,0
CLI-00270,55,20,bienal,debito_automatico,104.09,2203.95,4,1,1,2,0
CLI-00271,41,19,anual,cartao_credito,102.91,1908.53,3,1,0,2,0
CLI-00272,22,66,mensal,debito_automatico,98.16,6576.83,5,1,1,3,0
CLI-00273,69,30,mensal,boleto,111.2,3418.27,4,0,1,2,0
CLI-00274,51,53,anual,boleto,124.73,7037.38,2,1,1,1,0
CLI-00275,23,34,mensal,debito_automatico,104.53,3722.09,3,1,1,3,0
CLI-00276,39,22,mensal,debito_automatico,116.06,2588.7,3,0,1,1,0
CLI-00277,28,67,anual,debito_automatico,104.17,7215.55,5,1,1,1,0
CLI-00278,65,6,mensal,debito_automatico,120.48,758.43,4,1,0,0,0
CLI-00279,33,27,bienal,cartao_credito,130.23,3258.22,5,0,1,1,0
CLI-00280,50,10,anual,debito_automatico,106.91,1005.05,4,1,1,2,0
CLI-00281,26,48,anual,debito_automatico,92.5,4607.46,3,1,1,2,0
CLI-00282,23,70,anual,debito_automatico,64.1,4801.47,3,1,1,2,0
CLI-00283,33,59,bienal,boleto,93.35,5407.7,3,1,1,4,0
CLI-00284,46,59,anual,boleto,105.3,6808.98,3,1,1,3,0
CLI-00285,20,2,anual,cartao_credito,62.7,118.28,1,1,1,2,0
CLI-00286,37,29,mensal,cartao_credito,68.6,1956.26,3,1,1,1,0
CLI-00287,53,68,bienal,cartao_credito,96.04,6372.05,3,1,0,0,0
CLI-00288,36,65,anual,debito_automatico,106.61,7526.01,4,1,1,2,0
CLI-00289,43,26,mensal,debito_automatico,67.05,1668.47,3,1,1,1,0
CLI-00290,20,10,mensal,boleto,94.82,942.66,3,1,1,2,0
CLI-00291,36,53,anual,debito_automatico,107.8,5356.01,4,1,1,1,0
CLI-00292,37,59,mensal,boleto,120.43,7135.59,3,1,1,2,0
CLI-00293,49,22,bienal,debito_automatico,84.47,1991.18,3,1,1,1,0
CLI-00294,24,51,bienal,boleto,151.73,7434.95,5,1,1,2,0
CLI-00295,69,48,mensal,debito_automatico,79.08,4031.78,1,1,1,3,0
CLI-00296,58,21,anual,debito_automatico,77.96,1771.84,4,1,1,1,0
CLI-00297,50,22,mensal,debito_automatico,103.4,2080.51,5,1,1,3,0
CLI-00298,57,30,anual,debito_automatico,63.74,2010.27,2,1,1,4,0
CLI-00299,56,25,mensal,debito_automatico,82.66,1965.38,2,1,1,2,0
CLI-00300,35,28,anual,cartao_credito,87.37,2287.51,1,1,0,0,0
CLI-00301,57,65,mensal,cartao_credito,91.36,6058.5,2,1,1,3,0
CLI-00302,18,45,mensal,debito_automatico,55.4,2595.51,1,1,1,0,0
CLI-00303,28,68,mensal,debito_automatico,60.91,4054.7,2,1,1,4,0
CLI-00304,45,7,mensal,cartao_credito,94.39,599.83,2,0,1,1,0
CLI-00305,74,49,anual,cartao_credito,122.88,6513.29,5,1,1,0,0
CLI-00306,42,9,mensal,cartao_credito,76.22,717.64,2,1,1,1,0
CLI-00307,67,36,mensal,debito_automatico,28.0,961.97,1,1,1,1,0
CLI-00308,40,1,bienal,cartao_credito,70.83,70.79,3,1,1,1,0
CLI-00309,48,10,anual,cartao_credito,113.73,1029.89,3,0,1,1,0
CLI-00310,47,36,bienal,cartao_credito,79.23,2760.6,3,1,1,4,0
CLI-00311,59,46,bienal,cartao_credito,71.06,3283.49,1,1,0,1,0
CLI-00312,52,32,mensal,boleto,89.07,2860.06,1,1,1,2,0
CLI-00313,24,32,mensal,cartao_credito,87.87,2647.73,3,1,0,2,0
CLI-00314,33,6,anual,debito_automatico,113.95,721.54,2,1,1,4,0
CLI-00315,43,48,bienal,debito_automatico,86.53,3986.36,3,1,1,2,0
CLI-00316,65,38,bienal,boleto,84.79,3273.84,4,1,0,2,1
CLI-00317,74,17,mensal,cartao_credito,101.65,1649.09,1,1,0,2,0
CLI-00318,69,27,mensal,cartao_credito,102.96,2738.31,4,0,1,1,0
CLI-00319,66,54,mensal,cartao_credito,80.43,4089.15,4,1,1,1,0
CLI-00320,19,50,anual,cartao_credito,87.44,4488.3,1,1,1,0,0
CLI-00321,18,35,anual,debito_automatico,88.11,3037.95,3,1,1,0,0
CLI-00322,65,25,mensal,cartao_credito,87.08,1966.32,5,1,1,2,0
CLI-00323,29,28,mensal,cartao_credito,103.9,2634.67,4,1,1,2,0
CLI-00324,22,15,anual,boleto,90.84,1354.73,3,1,1,2,0
CLI-00325,54,4,anual,debito_automatico,76.25,285.68,5,1,1,3,0
CLI-00326,49,27,mensal,cartao_credito,80.81,2218.98,4,1,1,1,0
CLI-00327,72,26,bienal,cartao_credito,131.31,3351.37,3,1,1,0,0
CLI-00328,26,19,anual,cartao_credito,103.63,2029.78,4,1,1,0,0
CLI-00329,58,17,anual,boleto,120.93,2241.82,3,1,1,2,0
CLI-00330,52,43,anual,boleto,92.18,3986.52,2,1,1,1,0
CLI-00331,36,41,mensal,boleto,110.74,4801.3,2,1,1,1,0
CLI-00332,65,42,mensal,boleto,89.11,3932.03,1,1,1,1,0
CLI-00333,33,50,anual,debito_automatico,91.07,4937.63,5,1,1,1,0
CLI-00334,20,40,mensal,cartao_credito,114.14,4304.46,4,1,1,2,0
CLI-00335,37,39,anual,debito_automatico,82.94,3446.42,4,1,1,2,0
CLI-00336,41,23,anual,debito_automatico,112.59,2799.59,3,1,1,3,0
CLI-00337,71,52,anual,boleto,114.35,5818.67,5,1,1,2,0
CLI-00338,73,47,mensal,debito_automatico,102.38,4632.68,4,1,1,3,0
CLI-00339,50,63,mensal,debito_automatico,101.23,6954.06,5,1,1,4,0
CLI-00340,41,69,anual,boleto,125.97,8913.81,5,1,1,2,0
CLI-00341,69,43,mensal,cartao_credito,82.85,3477.53,2,0,1,1,0
CLI-00342,28,48,anual,boleto,63.8,3241.14,4,1,1,1,0
CLI-00343,66,34,anual,cartao_credito,67.71,2212.11,4,1,1,3,0
CLI-00344,25,40,mensal,debito_automatico,52.61,1968.21,1,1,1,1,0
CLI-00345,53,61,anual,cartao_credito,125.68,7733.9,5,1,1,1,0
CLI-00346,55,50,mensal,debito_automatico,111.21,5634.13,3,1,0,2,0
CLI-00347,57,67,mensal,debito_automatico,92.5,6601.26,2,1,1,1,0
